,1,0
 GO:0090201,2,0
 GO:0030424,7,0
 GO:0030425,12,0
 GO:1903578,1,0
 GO:0014076,1,0
 GO:0014075,1,0
 GO:0042267,1,0
 GO:0014070,4,0
 GO:0001725,11,0
 GO:0045176,1,0
 GO:0001726,11,0
 GO:0070062,239,7
 GO:0070063,1,0
 GO:0032374,1,0
 GO:1900026,4,0
 GO:1900025,2,1
 GO:0045178,1,0
 GO:0070664,1,0
 GO:0004064,1,0
 GO:2001014,1,0
 GO:0048333,1,0
 GO:0048339,1,0
 GO:0045596,1,0
 GO:0001650,1,0
 GO:0001652,1,0
 GO:0010976,4,0
 GO:0010977,7,0
 GO:0001657,2,1
 GO:0010975,2,0
 GO:0030516,3,0
 GO:0060761,1,0
 GO:0030042,1,0
 GO:0030512,2,0
 GO:0045599,1,0
 GO:0031648,1,0
 GO:0090150,1,0
 GO:0031647,2,0
 GO:0010575,1,0
 GO:0045773,2,0
 GO:0001837,2,0
 GO:0001836,2,0
 GO:0070404,1,0
 GO:0070402,1,0
 GO:0070403,1,0
 GO:0004004,1,0
 GO:0014854,2,1
 GO:0036464,2,0
 GO:0036465,1,0
 GO:0045682,1,0
 GO:0031313,1,0
 GO:0043200,4,0
 GO:0043204,2,0
 GO:0043205,1,0
 GO:0043206,1,0
 GO:0043208,1,0
 GO:0043209,39,0
 GO:0007369,1,0
 GO:0070538,1,0
 GO:1900153,1,0
 GO:0071333,3,0
 GO:0022612,1,0
 GO:0008385,1,0
 GO:0008380,12,0
 GO:0022617,4,0
 GO:0022614,3,0
 GO:0044794,2,0
 GO:0046638,1,0
 GO:0033017,1,0
 GO:0008017,5,0
 GO:0070084,1,0
 GO:0008013,3,0
 GO:0034332,2,1
 GO:1903919,1,0
 GO:0034333,2,0
 GO:0043516,1,0
 GO:0007507,5,0
 GO:0051602,2,0
 GO:0008637,1,0
 GO:0008630,1,0
 GO:0008631,2,0
 GO:0051604,1,0
 GO:0009725,1,0
 GO:0051354,2,0
 GO:0061001,1,0
 GO:0016567,4,0
 GO:0016290,1,0
 GO:0016192,3,0
 GO:0071204,1,0
 GO:0006968,1,0
 GO:0051289,6,1
 GO:0051287,4,1
 GO:0051286,1,0
